id,x,y,moisture,ph,temperature,humidity,nutrients,crop_health,water_available
S-01,8,12,28,5.8,33,51,21,Poor,Low
S-02,16,10,42,6.1,30,61,34,Moderate,Medium
S-03,25,9,67,6.6,26,66,52,Good,High
S-04,34,13,75,6.8,24,70,63,Good,High
S-05,45,8,31,5.9,32,53,26,Poor,Low
S-06,56,14,54,6.4,28,63,43,Moderate,Medium
S-07,66,11,82,6.9,23,74,69,Good,High
S-08,77,9,47,6.2,29,60,38,Moderate,Medium
S-09,86,15,24,5.7,34,48,18,Poor,Low
S-10,95,10,61,6.5,27,65,49,Good,High
S-11,7,27,38,6.0,31,57,29,Moderate,Medium
S-12,18,24,72,6.7,25,69,58,Good,High
S-13,29,30,45,6.3,29,62,36,Moderate,Medium
S-14,39,25,29,5.8,33,50,23,Poor,Low
S-15,48,32,64,6.5,27,67,51,Good,High
S-16,58,27,57,6.4,28,64,45,Moderate,Medium
S-17,69,31,35,6.0,32,55,27,Poor,Low
S-18,78,25,77,6.8,24,72,64,Good,High
S-19,88,29,49,6.2,30,61,39,Moderate,Medium
S-20,97,26,22,5.6,35,46,16,Poor,Low
S-21,10,42,59,6.5,28,65,48,Good,High
S-22,21,38,33,5.9,32,53,25,Poor,Low
S-23,31,46,70,6.7,25,68,57,Good,High
S-24,42,40,52,6.3,29,63,41,Moderate,Medium
S-25,51,47,27,5.7,34,49,20,Poor,Low
S-26,62,41,66,6.6,26,67,54,Good,High
S-27,72,48,44,6.2,30,59,35,Moderate,Medium
S-28,81,40,79,6.9,23,75,67,Good,High
S-29,91,46,36,6.0,31,56,28,Poor,Low
S-30,99,39,58,6.4,28,64,46,Moderate,Medium
S-31,6,58,25,5.7,35,47,19,Poor,Low
S-32,17,54,63,6.5,27,66,50,Good,High
S-33,28,62,48,6.2,30,60,37,Moderate,Medium
S-34,38,56,74,6.8,24,71,61,Good,High
S-35,47,65,34,5.9,32,54,26,Poor,Low
S-36,57,59,56,6.4,28,63,44,Moderate,Medium
S-37,68,66,81,6.9,22,76,70,Good,High
S-38,79,57,41,6.1,31,58,32,Moderate,Medium
S-39,89,64,30,5.8,33,51,22,Poor,Low
S-40,96,55,68,6.6,26,68,55,Good,High
S-41,9,76,53,6.3,29,62,42,Moderate,Medium
S-42,19,71,26,5.7,34,48,18,Poor,Low
S-43,30,81,76,6.8,24,73,65,Good,High
S-44,41,74,46,6.2,30,60,36,Moderate,Medium
S-45,50,84,32,5.9,32,52,24,Poor,Low
S-46,61,78,62,6.5,27,66,50,Good,High
S-47,71,85,55,6.4,28,64,43,Moderate,Medium
S-48,82,73,84,6.9,22,77,72,Good,High
S-49,92,80,39,6.0,31,56,30,Moderate,Medium
S-50,98,70,23,5.6,35,45,15,Poor,Low
S-51,12,93,71,6.7,25,70,59,Good,High
S-52,23,89,43,6.1,30,59,33,Moderate,Medium
S-53,35,96,29,5.8,33,50,21,Poor,Low
S-54,44,91,65,6.6,26,67,53,Good,High
S-55,55,98,51,6.3,29,62,40,Moderate,Medium
S-56,67,92,78,6.8,23,74,66,Good,High
S-57,76,97,37,6.0,32,55,28,Poor,Low
S-58,85,90,60,6.5,27,65,47,Good,High
S-59,93,96,45,6.2,30,60,35,Moderate,Medium
S-60,99,88,27,5.7,34,48,19,Poor,Low
